imageid,pathology,phenotype,fiber_type,n_links,median_distance_px,mean_distance_px,median_distance_um,mean_distance_um
JRP141,RA,Other Immune cells,COL4A1,4570,102.2248663386571,97.70265165028717,33.223081560063555,31.75336178634333
JRP141,RA,Other Immune cells,COL6A1,35614,109.6964069917419,103.4838813871815,35.65133227231612,33.63226145083399
JRP141,RA,Other Immune cells,FN,37651,110.69586388476449,104.33539322921749,35.97615576254846,33.90900279949568
JRP141,RA,Other Immune cells,MFAP5,16076,112.87064574818868,106.07956377934491,36.68295986816132,34.475858228287095
JRP141,RA,Plasma cells,CHP,53161,106.72691183467279,100.83831381551423,34.68624634626866,32.77245199004212
JRP141,RA,Plasma cells,COL1A1bis,40838,110.32539787063081,104.07640942036566,35.85575430795502,33.82483306161884
JRP141,RA,Plasma cells,COL4A1,5992,113.41349273246757,108.04864533455141,36.85938513805196,35.11580973372921
JRP141,RA,Plasma cells,COL6A1,68897,108.41101749941878,102.37539207216068,35.233580687311104,33.27200242345222
JRP141,RA,Plasma cells,FN,57942,108.71830615670613,102.80747465717461,35.3334495009295,33.41242926358175
JRP141,RA,Plasma cells,MFAP5,45693,108.28282065074656,101.88795316612506,35.19191671149263,33.11358477899064
JRP141,RA,T cells,CHP,18219,107.76540412731563,101.70609657300803,35.023756341377585,33.05448138622761
JRP141,RA,T cells,COL1A1bis,17249,108.99182193834416,102.58152612585884,35.422342129961855,33.338995990904124
JRP141,RA,T cells,COL4A1,3060,100.76138990439843,95.10496935874792,32.74745171892949,30.909115041593076
JRP141,RA,T cells,COL6A1,25635,108.61170416386156,102.46792733111846,35.29880385325501,33.3020763826135
JRP141,RA,T cells,FN,24138,108.59145997616,102.53636840004107,35.292224492252,33.32431973001335
JRP141,RA,T cells,MFAP5,15374,109.719427644316,103.286144798496,35.6588139844027,33.5679970595112
JRP141,RA,Vascular cells,CHP,27458,110.20539188857971,103.51603285310546,35.81675236378841,33.642710677259274
JRP141,RA,Vascular cells,COL1A1bis,35568,110.94396185338951,104.07153356011516,36.05678760235159,33.823248407037426
JRP141,RA,Vascular cells,COL4A1,10793,86.18994026657413,84.24077093923611,28.01173058663659,27.37825055525174
JRP141,RA,Vascular cells,COL6A1,48134,111.68223644253897,104.81709246825547,36.29672684382516,34.06555505218303
JRP141,RA,Vascular cells,FN,33791,113.39977456161081,106.79828678300552,36.854926732523516,34.7094432044768
JRP141,RA,Vascular cells,MFAP5,20370,117.676470357446,111.55391314088472,38.24485286616995,36.255021770787536
JRP144,OA,B cells,CHP,7417,109.76583820134869,103.10970910323468,35.673897415438326,33.51065545855127
JRP144,OA,B cells,COL1A1bis,949,112.42909322466512,107.46365358244765,36.539455298016165,34.92568741429549
